voyage_id,origin_port,destination_port,carrier,vessel_type,vessel_age_yrs,vessel_capacity_teu,route_distance_nm,month,winter_flag,planned_speed_kn,actual_speed_kn,speed_deviation_kn,weather_severity,port_congestion_idx,fuel_efficiency_ratio,load_factor,mechanical_incident,warehouse_buffer_hrs,truck_slots_available,sla_deadline_hrs,shipping_cost_usd,delay_probability,delayed,delay_hours
V0000,Busan,Long Beach,HMM,Container,5,18000,5500,10,0,21.28,21.62,-0.34,0.33,0.308,0.956,0.925,0,24,5,72,5522.86,0.0999,1,11.9
V0001,Colombo,Hamburg,Hapag-Lloyd,Container,20,24000,7800,7,0,17.46,17.97,-0.52,0.426,0.514,0.86,0.759,0,24,5,48,5230.97,0.268,1,96.0
V0002,Port Klang,Felixstowe,Evergreen,Container,21,18000,8100,10,0,20.71,18.06,2.65,0.638,0.642,0.811,0.577,0,48,13,24,3759.41,0.7184,1,36.2
V0003,Busan,Long Beach,HMM,Container,8,2000,5500,10,0,22.05,21.8,0.26,0.01,0.598,0.893,0.674,0,24,16,48,4560.08,0.1887,0,0.0
V0004,Mumbai,Jebel Ali,MSC,Container,14,24000,1100,5,0,23.47,23.03,0.44,0.25,0.337,0.803,0.653,0,24,11,48,4101.74,0.1556,0,0.0
V0005,Chennai,Nhava Sheva,PIL,Container,4,18000,800,6,0,18.0,20.32,-2.32,0.282,0.236,0.945,0.949,0,48,15,48,5307.76,0.0569,0,0.0
V0006,Port Klang,Felixstowe,Evergreen,Container,11,18000,8100,1,1,21.83,19.22,2.61,0.573,0.733,0.825,0.841,0,48,17,48,5624.64,0.6547,1,30.5
V0007,Port Klang,Felixstowe,Evergreen,Container,20,10000,8100,3,0,16.66,16.02,0.64,0.465,0.319,0.805,0.802,0,72,15,48,3638.77,0.3961,0,0.0
V0008,Busan,Long Beach,HMM,Container,15,10000,5500,12,1,23.9,21.71,2.19,0.399,0.327,0.857,0.778,0,48,12,24,4433.09,0.3917,0,0.0
V0009,Singapore,Rotterdam,Maersk,Bulk Carrier,19,10000,8400,8,0,14.26,13.2,1.06,0.511,0.36,0.831,0.843,0,48,4,24,5217.75,0.3673,0,0.0
